Wall time,Step,Value
1767184248.6368344,18345,63.0
1767184248.6963303,18383,38.0
1767184249.5436754,18764,52.0
1767184249.6175737,18814,50.0
1767184250.3383417,19176,362.0
1767184250.4837837,19262,86.0
1767184250.5424283,19301,39.0
1767184250.8636546,19472,171.0
1767184250.9549232,19530,58.0
1767184251.0353684,19584,54.0
1767184251.1369007,19645,61.0
1767184251.2087812,19692,47.0
1767184251.3931835,19790,98.0
1767184253.4454484,20050,260.0
1767184253.8603525,20259,209.0
1767184254.1050682,20383,124.0
1767184254.8587577,20715,61.0
1767184255.242264,20930,151.0
1767184255.6688752,21155,102.0
1767184255.7725866,21223,68.0
1767184256.455216,21582,132.0
1767184256.640264,21679,97.0
1767184256.7220929,21733,54.0
1767184256.8778663,21812,79.0
1767184257.157942,21978,45.0
1767184257.2917302,22054,76.0
1767184257.5266154,22180,77.0
1767184257.6306484,22242,62.0
1767184257.8739011,22383,36.0
1767184257.9413507,22428,45.0
1767184259.061731,22961,103.0
1767184259.2549212,23070,109.0
1767184259.742608,23337,70.0
1767184259.849467,23399,62.0
1767184259.9304452,23449,50.0
1767184260.0063717,23495,46.0
1767184260.2819889,23635,140.0
1767184260.3549016,23680,45.0
1767184260.4168632,23728,48.0
1767184260.5589461,23795,67.0
1767184260.796676,23935,94.0
1767184260.8672137,23978,43.0
1767184260.9382997,24026,48.0
1767184260.9978688,24064,38.0
1767184261.766207,24463,216.0
1767184261.8574831,24517,54.0
1767184262.1266475,24594,77.0
1767184262.2115586,24644,50.0
1767184262.3422277,24717,73.0
1767184262.6230702,24877,97.0
1767184263.9266052,25489,500.0
1767184264.4689512,25753,47.0
1767184264.863926,25940,187.0
1767184264.9667933,26003,63.0
1767184265.2170408,26139,64.0
1767184265.4333742,26257,118.0
1767184265.88972,26478,221.0
1767184266.6979752,26824,300.0
1767184266.936765,26965,76.0
1767184267.0298584,27020,55.0
1767184267.9736078,27487,137.0
1767184268.1869059,27608,121.0
1767184269.622442,28292,75.0
1767184269.677022,28326,34.0
1767184269.7845826,28391,65.0
1767184269.990651,28493,102.0
1767184270.2539213,28604,111.0
1767184270.5362873,28678,74.0
1767184270.9416502,28883,205.0
1767184271.8758948,29313,70.0
1767184272.2141871,29494,181.0
1767184273.2909563,29994,500.0
1767184276.668826,30263,269.0
1767184277.0156915,30466,137.0
1767184278.6846702,31201,346.0
1767184278.9151943,31310,109.0
1767184279.2487824,31470,90.0
1767184279.4505212,31559,89.0
1767184281.7029667,32488,76.0
1767184282.1199727,32670,182.0
1767184282.3057675,32762,92.0
1767184284.0998912,33456,102.0
1767184285.6910703,34111,500.0
1767184286.9853997,34611,500.0
1767184287.121293,34684,73.0
1767184287.218306,34734,50.0
1767184287.3743775,34804,70.0
1767184288.769453,35304,500.0
1767184288.9983935,35413,109.0
1767184290.670645,36021,108.0
1767184291.985158,36521,500.0
1767184292.1514513,36593,72.0
1767184293.7552571,37093,500.0
1767184294.3669307,37316,223.0
1767184295.6906912,37816,500.0
1767184297.397613,38480,164.0
1767184299.3392284,39174,115.0
1767184306.496436,40756,500.0
1767184308.629885,41516,139.0
1767184310.069154,42016,500.0
1767184310.1859615,42077,61.0
1767184311.5728657,42577,500.0
1767184313.05837,43077,500.0
1767184314.3324606,43577,500.0
1767184314.5829937,43691,114.0
1767184314.960121,43839,148.0
1767184316.3428013,44339,500.0
1767184317.6666038,44839,500.0
1767184319.1112287,45339,500.0
1767184320.336502,45839,500.0
1767184322.9103959,46839,500.0
1767184323.0402951,46899,60.0
1767184326.8892667,48399,500.0
1767184328.2757924,48973,500.0
1767184330.0930984,49653,180.0
1767184336.600305,50153,500.0
1767184337.8491175,50653,500.0
1767184343.6874192,52919,500.0
1767184345.2906516,53419,500.0
1767184345.6301808,53557,138.0
1767184346.1057436,53762,151.0
1767184347.7289822,54387,500.0
1767184349.059065,54887,500.0
1767184351.9223557,55887,500.0
1767184353.6465423,56556,169.0
1767184355.5803308,57333,94.0
1767184358.2195575,58352,150.0
1767184362.2635028,59915,500.0
1767184365.034029,60091,176.0
1767184366.2896688,60591,500.0
1767184368.970628,61591,500.0
1767184369.6098158,61868,277.0
1767184370.8743594,62368,500.0
1767184372.1045532,62868,500.0
1767184373.25416,63368,500.0
1767184374.7747586,63936,500.0
1767184377.261227,64936,500.0
1767184377.6787784,65111,175.0
1767184379.0295928,65611,500.0
1767184380.3079154,66111,500.0
1767184380.747462,66313,131.0
1767184380.8876445,66382,69.0
1767184381.1718712,66506,124.0
1767184382.6552963,67090,84.0
1767184385.5336387,68151,61.0
1767184388.1040254,69151,500.0
1767184390.5007317,69997,140.0
1767184396.1060069,70131,134.0
1767184396.466932,70281,79.0
1767184396.6275027,70354,73.0
1767184397.8078377,70801,447.0
1767184399.221411,71370,500.0
1767184400.818087,71946,500.0
1767184401.1173787,72084,138.0
1767184402.8384037,72747,38.0
1767184403.2107737,72901,154.0
1767184404.540188,73401,500.0
1767184406.1848145,73901,500.0
1767184408.2440615,74659,91.0
1767184409.5348203,75159,500.0
1767184409.9935002,75356,197.0
1767184412.3151278,76196,500.0
1767184413.346833,76598,94.0
1767184413.734507,76757,159.0
1767184415.0426836,77257,500.0
1767184416.3403938,77757,500.0
1767184416.9763982,77909,152.0
1767184417.116672,77981,72.0
1767184420.159906,79161,500.0
1767184421.3748045,79661,500.0
