Wall time,Step,Value
1767184459.6935015,113634,16.0
1767184460.3232846,113688,14.0
1767184460.765188,113730,15.0
1767184463.532558,114002,16.0
1767184466.280673,114311,14.0
1767184466.9365873,114380,14.0
1767184475.9160624,115231,15.0
1767184478.882415,115532,16.0
1767184489.0935538,116599,17.0
1767184489.4532723,116634,18.0
1767184492.638762,116960,16.0
1767184497.7953184,117486,17.0
1767184499.1656954,117624,15.0
1767184499.7597697,117688,17.0
1767184500.5402353,117775,14.0
1767184502.3542697,117957,15.0
1767184502.9165025,118002,15.0
1767184508.9246707,118601,16.0
1767184509.7798007,118698,18.0
1767184514.3642237,119169,15.0
1767184514.7575946,119204,19.0
1767184516.0935295,119342,16.0
1767184517.820139,119520,15.0
1767184518.8408525,119608,15.0
1767184520.0674224,119727,18.0
1767184526.1235769,120334,15.0
1767184530.7681446,120796,18.0
1767184531.9374955,120901,16.0
1767184533.7589114,121083,89.0
1767184534.1767368,121134,16.0
1767184539.063987,121621,18.0
1767184544.6909463,122182,14.0
1767184546.6855552,122385,19.0
1767184555.599997,123333,17.0
1767184562.2116454,123988,38.0
1767184573.9845538,125122,17.0
1767184575.5720274,125297,16.0
1767184589.627888,126667,32.0
1767184598.5776217,127546,19.0
1767184602.6543114,127944,18.0
1767184636.9508777,131117,57.0
1767184645.7445579,131974,17.0
1767184646.5322483,132043,19.0
1767184650.8750317,132479,15.0
1767184658.7569811,133307,17.0
1767184659.326208,133361,21.0
1767184665.3885694,133946,15.0
1767184667.1369114,134119,14.0
1767184671.7558112,134552,16.0
1767184672.362344,134614,14.0
1767184672.7344239,134645,15.0
1767184673.6962059,134742,15.0
1767184675.0786598,134882,15.0
1767184678.7508953,135242,16.0
1767184679.8302011,135354,17.0
1767184683.3193088,135694,16.0
1767184686.3194888,135964,17.0
1767184686.3526378,135979,15.0
1767184691.3373146,136456,14.0
1767184695.2518835,136830,19.0
1767184695.477817,136860,15.0
1767184696.0609481,136909,17.0
1767184696.2575552,136927,18.0
1767184697.7464027,137074,17.0
1767184704.0079885,137715,14.0
1767184708.9384098,138157,23.0
1767184711.9896686,138428,15.0
1767184713.4669864,138577,14.0
1767184714.7238226,138697,13.0
1767184719.3675556,139139,17.0
1767184721.2965393,139313,15.0
1767184733.115982,140496,31.0
1767184738.7789574,141047,31.0
1767184746.0035813,141766,20.0
1767184747.6443024,141923,17.0
1767184747.9029925,141958,17.0
1767184754.8099654,142664,16.0
1767184755.452762,142730,16.0
1767184756.0775442,142797,17.0
1767184757.8495746,142973,15.0
1767184758.416977,143022,18.0
1767184758.446639,143037,15.0
1767184763.8392158,143569,16.0
1767184765.8683534,143773,15.0
1767184768.8559058,144079,19.0
1767184770.0051072,144196,16.0
1767184772.2192395,144401,15.0
1767184774.569292,144642,17.0
1767184775.9025748,144795,16.0
1767184776.5131886,144849,20.0
1767184781.3589163,145325,16.0
1767184785.1840396,145717,16.0
1767184785.759556,145766,18.0
1767184786.0129118,145798,16.0
1767184786.596024,145857,14.0
1767184792.2625794,146420,15.0
1767184793.646447,146550,17.0
1767184797.968551,146994,18.0
1767184799.9694197,147188,18.0
1767184819.6703267,149177,46.0
1767184826.8763864,149896,20.0
1767184827.8529565,149991,18.0
1767184840.2076828,151238,15.0
1767184841.0399194,151322,18.0
1767184843.0274594,151527,20.0
1767184850.6038826,152290,17.0
1767184868.339224,154061,16.0
1767184879.4234443,155187,15.0
1767184883.764356,155655,18.0
1767184887.3863685,156008,15.0
1767184895.2992008,156797,16.0
1767184901.282452,157370,21.0
1767184903.611758,157603,17.0
1767184939.818886,161205,19.0
1767184941.352114,161361,18.0
1767184942.6734083,161520,19.0
1767184945.750145,161840,17.0
1767184948.6984546,162125,15.0
1767184950.6813703,162328,16.0
1767184956.6806977,162939,15.0
1767184958.1312666,163083,21.0
1767184962.2266133,163519,16.0
1767184969.1536636,164210,16.0
1767184969.5479434,164244,17.0
1767184972.9005988,164598,18.0
1767184973.8667724,164684,17.0
1767184974.2883885,164724,22.0
1767184974.6474824,164762,18.0
1767184979.248131,165237,18.0
1767184989.911781,166324,18.0
1767184993.1263883,166655,21.0
1767184999.822866,167306,18.0
1767185000.235443,167344,17.0
1767185003.4722478,167700,16.0
1767185009.235278,168278,16.0
1767185009.561418,168311,16.0
1767185014.1296449,168768,21.0
1767185014.3350568,168787,19.0
1767185015.1513774,168873,16.0
1767185016.5501757,169012,17.0
1767185033.388014,170741,20.0
1767185040.0374548,171423,21.0
1767185043.4957504,171777,19.0
1767185050.682392,172482,18.0
1767185051.248855,172542,19.0
1767185055.4057581,172966,19.0
1767185056.2203183,173053,17.0
1767185058.4662771,173299,19.0
1767185059.2719371,173386,16.0
1767185062.1234205,173682,15.0
1767185062.942269,173774,19.0
1767185063.7390323,173859,20.0
1767185066.0632405,174095,180.0
1767185068.5903754,174380,19.0
1767185075.9080422,175113,19.0
1767185081.4081268,175645,19.0
1767185091.1241825,176637,39.0
1767185094.1390383,176937,30.0
1767185095.118551,177027,23.0
1767185098.5112464,177380,18.0
1767185101.0068462,177626,33.0
1767185106.0217388,178127,20.0
1767185109.87335,178507,18.0
1767185118.568741,179378,23.0
1767185120.5980551,179553,17.0
1767185122.6815681,179748,22.0
1767185125.8078907,180060,20.0
1767185134.7883294,180889,22.0
1767185135.4288533,180953,19.0
1767185138.0553255,181195,23.0
1767185149.0224276,182155,30.0
1767185153.003657,182508,20.0
1767185153.8066702,182591,16.0
1767185154.2191234,182633,21.0
1767185158.1126628,182987,18.0
1767185160.153835,183166,18.0
1767185164.0611207,183544,14.0
1767185174.4441793,184491,15.0
1767185174.8849401,184538,16.0
1767185176.1628094,184652,32.0
1767185186.1578119,185588,24.0
1767185189.9493144,185949,19.0
1767185190.402519,185999,27.0
1767185197.334992,186652,17.0
1767185201.671078,187046,19.0
1767185208.0833447,187659,22.0
1767185215.0816329,188310,18.0
1767185221.899851,188950,17.0
1767185226.9721382,189434,14.0
1767185227.8195927,189517,29.0
1767185230.4952736,189762,14.0
1767185232.7862277,190000,18.0
1767185242.6426942,190918,14.0
1767185244.447845,191097,16.0
1767185244.643071,191113,16.0
1767185252.3729894,191853,15.0
1767185253.1326787,191921,15.0
1767185253.3747382,191960,24.0
1767185255.6098619,192169,15.0
1767185259.731857,192580,15.0
1767185262.005902,192787,15.0
1767185263.252835,192916,18.0
1767185264.2478259,193020,18.0
1767185266.2235792,193202,15.0
1767185267.5021048,193331,17.0
1767185267.738483,193360,14.0
1767185273.8630793,193993,15.0
1767185275.2410882,194126,17.0
1767185275.4607286,194156,15.0
1767185275.8566768,194200,15.0
1767185280.6017363,194660,14.0
1767185281.4827275,194753,14.0
1767185284.128891,195009,15.0
1767185295.4024851,196113,15.0
1767185296.009813,196163,17.0
1767185300.7089727,196590,16.0
1767185301.6222277,196671,17.0
1767185307.4096382,197204,15.0
1767185307.4408238,197219,15.0
1767185312.2423558,197627,16.0
1767185315.1771667,197885,14.0
1767185315.8860333,197946,14.0
1767185317.3138669,198072,17.0
1767185318.2597582,198149,16.0
1767185318.496827,198168,19.0
1767185319.6728778,198261,14.0
1767185323.1306548,198572,19.0
1767185325.535661,198778,15.0
1767185326.6415334,198879,18.0
1767185331.4123704,199294,16.0
1767185332.0215943,199347,16.0
1767185347.4044561,200794,18.0
1767185361.927281,202274,21.0
1767185363.6694298,202454,30.0
1767185369.0478306,202993,19.0
1767185372.4518678,203349,31.0
1767185376.950415,203827,16.0
1767185381.2595363,204286,25.0
1767185385.4190218,204756,15.0
1767185385.5803437,204775,19.0
1767185390.7904391,205311,16.0
1767185394.983905,205736,15.0
1767185397.5118752,205966,20.0
1767185402.1823845,206437,19.0
1767185406.2751844,206824,22.0
1767185407.3106894,206922,18.0
1767185408.53837,207049,14.0
1767185409.3159013,207135,17.0
1767185419.4674394,208217,17.0
1767185421.4894702,208404,17.0
