Wall time,Step,Value
1767184333.7010322,21868,11.0
1767184333.9498703,21923,11.0
1767184333.9618473,21935,12.0
1767184334.2975338,22005,11.0
1767184334.3099833,22017,12.0
1767184334.555476,22062,11.0
1767184334.9840147,22176,11.0
1767184335.054906,22187,11.0
1767184335.1454477,22210,11.0
1767184335.318565,22256,11.0
1767184335.3986194,22267,11.0
1767184335.4815214,22288,11.0
1767184335.6515994,22333,11.0
1767184335.7292016,22355,11.0
1767184336.084543,22428,39.0
1767184336.364403,22483,11.0
1767184336.5901234,22528,11.0
1767184336.605188,22540,12.0
1767184336.770682,22563,11.0
1767184336.8611495,22585,11.0
1767184337.0458977,22634,13.0
1767184337.1205678,22645,11.0
1767184337.3246756,22699,11.0
1767184337.411097,22710,11.0
1767184337.7737448,22783,11.0
1767184337.8734658,22814,18.0
1767184338.222437,22887,14.0
1767184338.5035646,22950,17.0
1767184339.3488624,23124,16.0
1767184339.3679006,23140,16.0
1767184339.449523,23156,16.0
1767184339.5421798,23172,16.0
1767184339.6375818,23191,19.0
1767184339.7201562,23206,15.0
1767184339.9010217,23253,16.0
1767184339.9940703,23270,17.0
1767184340.0750601,23285,15.0
1767184341.1644838,23522,15.0
1767184341.1883707,23538,16.0
1767184341.392379,23570,17.0
1767184341.4864063,23585,15.0
1767184341.5735042,23601,16.0
1767184341.6739426,23633,16.0
1767184341.8567424,23669,18.0
1767184342.0392413,23709,25.0
1767184342.1395605,23739,15.0
1767184342.5049808,23812,16.0
1767184342.693429,23846,18.0
1767184342.9725077,23909,15.0
1767184343.446149,24010,16.0
1767184343.6213875,24042,16.0
1767184343.905611,24107,17.0
1767184344.1758826,24165,21.0
1767184344.3733134,24201,15.0
1767184345.1849332,24385,16.0
1767184345.280989,24401,16.0
1767184345.4705894,24452,16.0
1767184345.6605024,24494,21.0
1767184345.749539,24515,21.0
1767184346.0213351,24574,20.0
1767184346.292043,24626,31.0
1767184346.9465597,24778,22.0
1767184347.5082116,24895,23.0
1767184348.174499,25028,18.0
1767184348.2688587,25051,23.0
1767184348.6926475,25131,22.0
1767184349.4435716,25292,22.0
1767184349.6606343,25338,46.0
1767184350.1199517,25424,29.0
1767184350.4423199,25482,32.0
1767184350.5418935,25505,23.0
1767184350.8953314,25595,19.0
1767184351.408804,25720,51.0
1767184351.947871,25824,22.0
1767184352.1304553,25869,45.0
1767184352.466293,25949,15.0
1767184352.6485834,25993,26.0
1767184353.121178,26091,19.0
1767184353.3670793,26146,22.0
1767184353.5456014,26183,22.0
1767184354.9924192,26506,24.0
1767184355.4395962,26618,20.0
1767184356.5420687,26844,21.0
1767184356.6384172,26868,24.0
1767184357.084143,26969,21.0
1767184357.6198406,27084,45.0
1767184362.902339,28223,31.0
1767184363.946512,28451,40.0
1767184364.3693726,28544,30.0
1767184366.2044222,28937,393.0
1767184369.1701496,29553,39.0
1767184370.743756,29920,15.0
1767184374.9578927,30672,26.0
1767184376.8906653,31087,382.0
1767184378.965341,31554,61.0
1767184379.363891,31654,100.0
1767184380.339246,31861,100.0
1767184381.2979515,32093,23.0
1767184382.566078,32368,275.0
1767184383.6504817,32605,151.0
1767184383.9366453,32680,75.0
1767184384.539228,32814,15.0
1767184384.6264727,32831,17.0
1767184384.7095277,32845,14.0
1767184384.9820182,32916,13.0
1767184385.247639,32978,15.0
1767184385.3979032,33009,17.0
1767184386.602925,33296,14.0
1767184387.756371,33553,17.0
